DeviceModel,CAPEX,OPEX,Vendor
Cisco ASR 1002-X (8GB),32000,3000,Cisco
Cisco ASR 1001-X,12509.24,7909.13,Cisco
VeloCloud Edge 3800,70000,3000,VeloCloud
Cisco 6807-XL,34000,3000,Cisco
Cisco WS-C4500X-40X-ES,34000,3000,Cisco
Cisco WS-C4510RE-S8,34000,3000,Cisco
Cisco C9300-48UN-E,6366.59,5074.4,Cisco
Cisco N9K-C93180YC-FX,10828.48,5275.95,Cisco
Aruba 7240XM,49000,3000,Aruba
Avocent ACS8048MDAC-400,49000,3000,Avocent
Aruba 7210,49000,3000,Aruba
Aruba 7205,49000,3000,Aruba
Aruba AP535,49000,3000,Aruba
Cisco WS-C3850-24XS-E,34000,3000,Cisco
PAN 3250,24735,0,PAN
PAN 850,49000,3000,PAN
HPE Aruba ClearPass JZ403AAE,36000,0,HPE
HPE Aruba ClearPass JZ399AAE,3200,0,HPE
Dell/EMC/VX Rail,40000,40000,Dell
TE-V825-NS1GRID,6118.92,0,TE
IB-MNT-PRM,0,0,IB
Cisco C9500-48Y4C-A,8797.5,16853.7,Cisco
Cisco C9500-24Y4C-A,8151.5,12298.4,Cisco
Cisco SFP-10G-SR=,15480,0,Cisco
Cisco SX-MMD=,4662,0,Cisco
Cisco GLC-TE=,4239,0,Cisco
Cisco SFP-10G-LR=,2476,0,Cisco
Cisco C9410R-96U-BNDL-A,40307.8,20421.3,Cisco
PAN 3220,15555,0,PAN
NONE,0,0,NONE
Gigamon HC1,22775.74,0,Gigamon
Gigamon HC2,97557.48,0,Gigamon
Power Edge Dell R640,11588.43,0,Dell
Power Edge Dell C6420,56096.59,0,Dell
