Tier,ServiceType,ServiceType1,DeviceType,DeviceModel,ServiceCategory,ServiceCategory1,IDF
Tier 1A,LAN-WLAN,lan_wlan,Wireless Switch,Cisco C9300-48UN-E,NetOps Services,net_ops,Yes
Tier 1B,LAN-WLAN,lan_wlan,Wireless Switch,Cisco C9300-48UN-E,NetOps Services,net_ops,Yes
Tier 1C,LAN-WLAN,lan_wlan,Wireless Switch,Cisco C9300-48UN-E,NetOps Services,net_ops,Yes
Tier 2A,LAN-WLAN,lan_wlan,Wireless Switch,Cisco C9300-48UN-E,NetOps Services,net_ops,Yes
Tier 2B,LAN-WLAN,lan_wlan,Wireless Switch,Cisco C9300-48UN-E,NetOps Services,net_ops,Yes
Tier 1A,LAN-WLAN,lan_wlan,Wireless Controller B,Aruba 7240XM,NetOps Services,net_ops,No
Tier 1B,LAN-WLAN,lan_wlan,Wireless Controller B,Aruba 7240XM,NetOps Services,net_ops,No
Tier 1C,LAN-WLAN,lan_wlan,Wireless Controller B,Aruba 7210,NetOps Services,net_ops,No
Tier 2A,LAN-WLAN,lan_wlan,Wireless Controller B,Aruba 7205,NetOps Services,net_ops,No
Tier 2B,LAN-WLAN,lan_wlan,Wireless Controller B,Aruba 7205,NetOps Services,net_ops,No
Tier 1A,LAN-WLAN,lan_wlan,Wireless Controller A,Aruba 7240XM,NetOps Services,net_ops,No
Tier 1B,LAN-WLAN,lan_wlan,Wireless Controller A,Aruba 7240XM,NetOps Services,net_ops,No
Tier 1C,LAN-WLAN,lan_wlan,Wireless Controller A,Aruba 7210,NetOps Services,net_ops,No
Tier 2A,LAN-WLAN,lan_wlan,Wireless Controller A,Aruba 7205,NetOps Services,net_ops,No
Tier 2B,LAN-WLAN,lan_wlan,Wireless Controller A,Aruba 7205,NetOps Services,net_ops,No
Tier 1A,LAN-WLAN,lan_wlan,Wireless AP,Aruba AP535,NetOps Services,net_ops,Yes
Tier 1B,LAN-WLAN,lan_wlan,Wireless AP,Aruba AP535,NetOps Services,net_ops,Yes
Tier 1C,LAN-WLAN,lan_wlan,Wireless AP,Aruba AP535,NetOps Services,net_ops,Yes
Tier 2A,LAN-WLAN,lan_wlan,Wireless AP,Aruba AP535,NetOps Services,net_ops,Yes
Tier 2B,LAN-WLAN,lan_wlan,Wireless AP,Aruba AP535,NetOps Services,net_ops,Yes
Tier 1A,WAN,wan,Velocloud B,NONE,NetOps Services,net_ops,No
Tier 1A,WAN,wan,Velocloud A,NONE,NetOps Services,net_ops,No
Tier 1B,WAN,wan,Velocloud A,NONE,NetOps Services,net_ops,No
Tier 1C,WAN,wan,Velocloud A,NONE,NetOps Services,net_ops,No
Tier 2A,WAN,wan,Velocloud A,VeloCloud Edge 3800,NetOps Services,net_ops,No
Tier 2B,WAN,wan,Velocloud A,VeloCloud Edge 3800,NetOps Services,net_ops,No
Tier 1A,Footprint,footprint,Switch B,Cisco N9K-C93180YC-FX,Infra Services,infra,No
Tier 1B,Footprint,footprint,Switch B,Cisco N9K-C93180YC-FX,Infra Services,infra,No
Tier 1C,Footprint,footprint,Switch B,Cisco N9K-C93180YC-FX,Infra Services,infra,No
Tier 2A,Footprint,footprint,Switch B,Cisco N9K-C93180YC-FX,Infra Services,infra,No
Tier 1A,Footprint,footprint,Switch A,Cisco N9K-C93180YC-FX,Infra Services,infra,No
Tier 1B,Footprint,footprint,Switch A,Cisco N9K-C93180YC-FX,Infra Services,infra,No
Tier 1C,Footprint,footprint,Switch A,Cisco N9K-C93180YC-FX,Infra Services,infra,No
Tier 2A,Footprint,footprint,Switch A,Cisco N9K-C93180YC-FX,Infra Services,infra,No
Tier 1A,DC-Ops,dc_ops,Rack,NONE,DC-Ops,dc_ops,Yes
Tier 1B,DC-Ops,dc_ops,Rack,NONE,DC-Ops,dc_ops,Yes
Tier 1C,DC-Ops,dc_ops,Rack,NONE,DC-Ops,dc_ops,Yes
Tier 1A,DC-Ops,dc_ops,PDU's,NONE,DC-Ops,dc_ops,Yes
Tier 1B,DC-Ops,dc_ops,PDU's,NONE,DC-Ops,dc_ops,Yes
Tier 1C,DC-Ops,dc_ops,PDU's,NONE,DC-Ops,dc_ops,Yes
Tier 1A,LAN-WLAN,lan_wlan,LAN Office Switch,Cisco C9410R-96U-BNDL-A,NetOps Services,net_ops,Yes
Tier 1B,LAN-WLAN,lan_wlan,LAN Office Switch,Cisco C9410R-96U-BNDL-A,NetOps Services,net_ops,Yes
Tier 1C,LAN-WLAN,lan_wlan,LAN Office Switch,Cisco C9410R-96U-BNDL-A,NetOps Services,net_ops,Yes
Tier 2A,LAN-WLAN,lan_wlan,LAN Office Switch,Cisco C9300-48UN-E,NetOps Services,net_ops,Yes
Tier 2B,LAN-WLAN,lan_wlan,LAN Office Switch,Cisco C9300-48UN-E,NetOps Services,net_ops,Yes
Tier 1A,WAN,wan,MPLS Router B,Cisco ASR 1002-X (8GB),NetOps Services,net_ops,No
Tier 1B,WAN,wan,MPLS Router B,Cisco ASR 1001-X,NetOps Services,net_ops,No
Tier 1C,WAN,wan,MPLS Router B,Cisco ASR 1001-X,NetOps Services,net_ops,No
Tier 2A,WAN,wan,MPLS Router B,NONE,NetOps Services,net_ops,No
Tier 2B,WAN,wan,MPLS Router B,NONE,NetOps Services,net_ops,No
Tier 1A,WAN,wan,MPLS Router A,Cisco ASR 1002-X (8GB),NetOps Services,net_ops,No
Tier 1B,WAN,wan,MPLS Router A,Cisco ASR 1001-X,NetOps Services,net_ops,No
Tier 1C,WAN,wan,MPLS Router A,Cisco ASR 1001-X,NetOps Services,net_ops,No
Tier 2A,WAN,wan,MPLS Router A,NONE,NetOps Services,net_ops,No
Tier 2B,WAN,wan,MPLS Router A,NONE,NetOps Services,net_ops,No
Tier 1A,WAN,wan,MPLS Route Reflector B,Cisco ASR 1002-X (8GB),NetOps Services,net_ops,No
Tier 1B,WAN,wan,MPLS Route Reflector B,Cisco ASR 1001-X,NetOps Services,net_ops,No
Tier 1C,WAN,wan,MPLS Route Reflector B,Cisco ASR 1001-X,NetOps Services,net_ops,No
Tier 2A,WAN,wan,MPLS Route Reflector B,NONE,NetOps Services,net_ops,No
Tier 2B,WAN,wan,MPLS Route Reflector B,NONE,NetOps Services,net_ops,No
Tier 1A,WAN,wan,MPLS Route Reflector A,Cisco ASR 1002-X (8GB),NetOps Services,net_ops,No
Tier 1B,WAN,wan,MPLS Route Reflector A,Cisco ASR 1001-X,NetOps Services,net_ops,No
Tier 1C,WAN,wan,MPLS Route Reflector A,Cisco ASR 1001-X,NetOps Services,net_ops,No
Tier 2A,WAN,wan,MPLS Route Reflector A,NONE,NetOps Services,net_ops,No
Tier 2B,WAN,wan,MPLS Route Reflector A,NONE,NetOps Services,net_ops,No
Tier 1A,DC-Ops,dc_ops,Mgmt Switch,NONE,DC-Ops,dc_ops,No
Tier 1B,DC-Ops,dc_ops,Mgmt Switch,NONE,DC-Ops,dc_ops,No
Tier 1C,DC-Ops,dc_ops,Mgmt Switch,NONE,DC-Ops,dc_ops,No
Tier 1A,Network Services,network_services,Load Balancer,NONE,Net-Auth Services,net_auth,No
Tier 1B,Network Services,network_services,Load Balancer,NONE,Net-Auth Services,net_auth,No
Tier 1C,Network Services,network_services,Load Balancer,NONE,Net-Auth Services,net_auth,No
Tier 1A,LAN-WLAN,lan_wlan,LAN DMZ B,Cisco C9500-48Y4C-A,NetOps Services,net_ops,No
Tier 1B,LAN-WLAN,lan_wlan,LAN DMZ B,Cisco C9500-48Y4C-A,NetOps Services,net_ops,No
Tier 1C,LAN-WLAN,lan_wlan,LAN DMZ B,Cisco C9500-48Y4C-A,NetOps Services,net_ops,No
